S_1,C1_Sae1,C1_Sae2,mm,Conductor,Flute_1,Flute_2,Oboe_1,Oboe_2,Clarinet_1,Clarinet_2,Bassoon_1,Bassoon_2,Horn_1,Horn_2,Horn_3,Horn_4,Trumpet_1,Trumpet_2,Trumpet_3,Trombone_1,Trombone_2,Trombone_Bass,Tuba,Perc_Tympani,Perc_Batt,Perc_GC,Harp,Vn_solo,Violin_1,Violin_2,Va_solo,Viola,Vc_Solo,Cello,Contrabass,RD_Sae1,RD_Sae2,RR_Saev
382.511020408,381.511020408,370.93360544201400,124.75,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,373.32054421752400,354.9270748297690,342.4775510202450
383.399183673,382.399183673,371.7515646253810,125.13,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,374.2087074825240,355.8152380947690,343.272108843068
385.219047619,384.219047619,373.5246258502930,126.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,375.9583673468910,357.56489795913600,345.0685714285240
385.475555556,384.475555556,373.73433106620400,126.13,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,376.2148752838910,357.8214058961360,345.2080725628030
392.685714286,391.685714286,380.827482993483,129.5,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.37823129280300,364.75074829960500,352.2544217689930
394.146031746,393.146031746,382.2175963718500,130.13,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,384.7683446711700,366.18766439906100,353.64453514736100
395.395918367,394.395918367,383.4206802717620,130.75,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,385.9948299316260,367.29061224489800,354.7774149656390
398.26031746,397.26031746,386.2382766436740,132.13,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,388.8592290246260,369.99773242598600,357.5248072559180
398.554920635,397.554920635,386.5031292517010,132.25,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,389.1538321996260,370.29233560098600,357.7960090703740
399.627755102,398.627755102,387.5121088434970,132.75,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,390.2266666666260,371.31836734689800,358.79863945574100
402.475102041,401.475102041,390.24244897977600,134.13,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,393.0272108845370,374.0019047620880,361.5289795920200
402.742857143,401.742857143,390.5102040817760,134.25,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,393.2949659865370,374.24625850354400,361.7967346940200
