C5,mm,mm_original,RehNo,Structure,Theme,Conductor,Flute_1,Flute_2,Oboe_1,Oboe_2,Clarinet_1,Clarinet_2,Bassoon_1,Bassoon_2,Horn_1,Horn_2,Horn_3,Horn_4,Trumpet_1,Trumpet_2,Trumpet_3,Trombone_1,Trombone_2,Trombone_Bass,Tuba,Perc_Tympani,Perc_Batt,Perc_GC,Harp,Vn_solo,Violin_1,Violin_2,Va_solo,Viola,Vc_Solo,Cello,Contrabass
226.112,101.125,151.13,,,,,,,,,,,0,0,,,,,,,,,,,,,0,,,,,,,,,,
226.388,101.25,151.25,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,
226.876,101.5,151.50,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,
227.916,102,152.00,,,,,,,,,,,1,1,,,,,,,,1,0,1,0,,,,,,,,,,,,
228.192,102.125,152.13,,,a,,,,,,,,,,,,,,1,,0,,,,,,1,,,,,,,,,,
228.454,102.25,152.25,,,,,1,1,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,
228.952,102.5,152.50,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,
229.424,102.75,152.75,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
229.92,103,153.00,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,
230.182,103.125,153.13,,,,,,,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,
230.468,103.25,153.25,,,,,,,,,,,,,,,,,,,1,,,0,1,,,,,,,,,,,,
231.046,103.5,153.50,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,
231.5413333,103.75,153.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232.03,104,154.00,,,,,,,,,,,1,1,,,,,,,,1,0,1,0,,,,,,,,,,,,
232.294,104.125,154.13,,,a,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
232.554,104.25,154.25,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,
232.984,104.5,154.50,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,
233.528,104.75,154.75,,,e,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
