S_1,RehNo,Structure,Theme,mm,Conductor,Flute_1,Flute_2,Oboe_1,Oboe_2,Clarinet_1,Clarinet_2,Bassoon_1,Bassoon_2,Horn_1,Horn_2,Horn_3,Horn_4,Trumpet_1,Trumpet_2,Trumpet_3,Trombone_1,Trombone_2,Trombone_Bass,Tuba,Perc_Tympani,Perc_Batt,Perc_GC,Harp,Vn_solo,Violin_1,Violin_2,Va_solo,Viola,Vc_Solo,Cello,Contrabass,C1_Sae1,C1_Sae2,RD_Sae1,RD_Sae2,RR_Saev
322.664127,,,,97.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.664127,313.0056235986400,314.0820861836740,298.61378686394600,286.1408616938780
324.3504762,,,a,97.25,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,323.3504762,314.6919727986400,315.6982313020410,300.25333334285700,287.8038095333330
324.9092063,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,323.9092063,315.2273015380950,316.2335600414970,300.81206344285700,288.26893419115600
326.0190476,,,,98.5,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,325.0190476,316.33714283809500,317.34340134149700,301.9219047428570,289.30857140952400
326.5777778,,T2,f,98.75,,0.0,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,325.5777778,316.8958730380950,317.9021315414970,302.43383222176900,289.8673016095240
327.1644444,11.0,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,326.1644444,317.48253963809500,318.4887981414970,303.0204988217690,290.4539682095240
335.3077551,,,f,102.75,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,334.3077551,325.3450340115650,326.60870748095200,310.67238095034000,298.08244897755100
343.9891156,,T1,b,106.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.9891156,333.81578226666700,335.26666662040800,318.72190471564600,306.29578226666700
344.5485714,12.0,,,107.0,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,343.5485714,334.3284353455780,335.8261224204080,319.25795915510200,306.80843534557800
344.807619,,,,107.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,343.807619,334.5874829455780,336.08517002040800,319.4702040340140,307.044081585034
352.6726531,,,e,110.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.6726531,342.19510207959200,343.95020412040800,326.9140136442180,314.41768711360500
355.7384127,,,,112.13,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,354.7384127,345.1906575979590,346.99256235986400,329.81596372040800,317.2728344687080
358.1333333,,,,113.25,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,357.1333333,347.4451700346940,349.3172788782310,332.0470747965990,319.50394554489800
360.2869841,,,,114.25,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,359.2869841,349.52861675306100,351.4475283176870,334.0135147122450,321.5639909027210
360.8253968,,,,114.5,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,359.8253968,350.06702945306100,351.9859410176870,334.458321970068,321.9853968
361.3431293,,T2,f,114.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.3431293,350.561360592517,352.5036735176870,334.97605447006800,322.3627211367350
361.8488889,13.0,,,115.0,,,,,,0.0,0.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,360.8488889,351.0437188319730,353.0094331176870,335.4818140700680,322.79827665510200
362.1155556,,,,115.13,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,0.0,361.1155556,351.3103855319730,353.2760998176870,335.74848077006800,323.06494335510200
363.9619048,,,,116.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,362.9619048,353.08653065034000,355.0288435755100,337.4076190857140,324.8878911945580
364.2412698,,,,116.13,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,363.2412698,353.3658956503400,355.3082085755100,337.68698408571400,325.1672561945580
366.0495238,,,,117.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,365.0495238,355.1039455687080,357.093061214966,339.4484353646260,326.9521088340140
366.3136508,,,,117.13,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,0.0,,,,,,365.3136508,355.36807256870800,357.357188214966,339.66575964353700,327.2162358340140
368.1422222,,,,118.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,367.1422222,357.1264398870750,359.16235825442200,341.4241269619050,328.9043990707480
369.1987302,,,,118.5,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,368.1987302,358.1127438054420,360.2188662544220,342.48063496190500,329.79709754693900
369.7574603,,,f,118.75,,,,1.0,1.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,368.7574603,358.67147390544200,360.7541949938780,342.9223582591840,330.35582764693900
370.3002268,,,,119.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,369.3002268,359.1674376843540,361.27356013333300,343.41832203809500,330.8985941469390
372.4165079,,,,120.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.4165079,361.2135147027210,363.3664398727890,345.4409976959180,332.91401360544200
372.9473016,,,,120.25,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,371.9473016,361.72090704217700,363.8972335727890,345.9717913959180,333.4286621442180
374.4914286,,,,121.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,373.4914286,363.1953741496600,365.39455785170100,347.3989115931970,334.8791837020410
376.5739683,,,,122.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.5739683,365.2071655789120,367.4302948306120,349.3644444904760,336.8213152387750
