,Resp_wave,ACCVert,ACCLat,ACCLong,Jerk
-11.8,504.0,-843.9331000000108,-368.93310000001077,254.0,9.779596820002487
-11.76,504.0,-842.9331000000284,-371.6998250000213,257.9331000000284,9.353543710061746
-11.72,504.591458974357,-835.2508750000195,-363.18397500001436,254.05017500000392,9.386615799311203
-11.68,505.6170999999984,-842.0,-367.0,251.86707499987878,9.3163856591127
-11.64,507.2854820512795,-846.0,-368.9331000000925,254.0,9.549763530697776
-11.6,509.33676410256226,-837.1772333335077,-369.755866666567,254.0,9.786093704854133
-11.56,512.0820692307674,-843.8662000000961,-367.0,253.4991250001803,9.582189049764276
-11.52,515.8712941176395,-842.0331000000136,-370.96689999998637,254.09102500003743,9.481605661272
-11.48,520.7137051281941,-845.0331000000065,-366.0331000000065,257.0,9.699874985586769
-11.44,525.841910256401,-850.0662000001108,-364.9668999999446,257.0,9.51679425955132
-11.4,532.5581615384508,-844.1920749999651,-367.0,257.0,8.775656905993152
-11.36,541.1925524999939,-845.9668999999046,-370.93379999980937,260.94207499983315,9.570034271510888
-11.32,549.5573128205107,-841.2748250000661,-379.3410250002426,257.9668999999118,9.570199493878716
-11.28,559.4530512820522,-847.9668999999207,-368.96689999992066,269.0,10.059166257806947
-11.24,570.5804076922842,-839.0,-373.2251749999458,256.2251749999458,9.876906660158603
-11.2,581.8372352941003,-846.1331000000378,-367.23292500006613,261.26620000007557,9.95163110977326
-11.16,592.1966410256291,-843.7337999999387,-368.5170749999463,261.0,9.669658475939487
-11.120000000000001,602.4530512820425,-836.8668999999765,-376.13310000002355,264.73379999995285,10.171833981251384
-11.08,612.7094615384563,-841.150174999989,-357.26620000002936,259.8668999999853,9.996457772281317
-11.04,621.9692846153831,-842.1331000000096,-367.13310000000956,264.7337999999808,10.700073682920381
-11.0,630.1333692307697,-841.349824999999,-379.6160249999964,261.8669000000013,10.376295054749031
-10.96,636.2387340153332,-847.6006999998433,-379.60069999984336,272.73379999989555,9.886349435068757
-10.92,641.1418923076894,-837.7668999999291,-368.2331000000708,261.0,9.623066944995145
-10.879999999999999,643.1931743589722,-845.5920749998916,-370.76689999993806,261.0,10.354542851301417
-10.84,644.8777717948726,-840.6579250000959,-374.0,269.76689999994517,10.476757962132782
-10.8,643.5563923076937,-835.374125000179,-378.46620000009545,265.46620000009545,11.12625390452235
-10.76,640.1541375000024,-837.157925000068,-373.15792500006796,265.9324000001554,11.760666469064741
-10.719999999999999,634.7854282051427,-841.5920749999476,-374.23310000002994,260.76689999997006,11.5422852758189
-10.68,627.4067897436038,-843.5337999999543,-363.76689999997717,265.0,10.242204847665887
-10.64,618.5336086956664,-840.3251749999882,-368.7668999999843,261.0,10.3320014657754
-10.6,607.0255692307745,-840.6668999999176,-372.33310000008237,259.22253333322357,9.949784599450197
-10.559999999999999,594.7178769230779,-839.9991250002163,-368.33379999988466,259.6668999999423,10.130541922130472
-10.52,582.1110333333417,-839.249825000038,-371.2498250000379,256.7501749999621,10.181068955340832
-10.48,569.1024923077208,-839.5001749999674,-369.6662000000869,264.3331000000435,9.941389686312073
-10.440000000000001,556.7948000000247,-842.0822250001727,-368.6668999999636,261.0,9.540784535307758
-10.4,544.8631820513008,-843.3331000000275,-367.0,259.66689999997254,9.676922004401673
-10.36,533.9828461538596,-839.5829250000326,-371.0,255.2491250000697,8.837739142378483
-10.32,524.163629156017,-841.0079250001461,-366.43310000008347,256.0079250001461,8.721316016148679
-10.280000000000001,515.3965333333339,-846.7006999997226,-364.5668999999075,261.86620000018496,9.177493220400835
-10.24,507.6674794871872,-842.0,-364.4331000000836,255.9251749999373,9.13280866299299
-10.2,500.4879923077082,-846.0,-366.5668999999253,254.32482500005605,9.15195211042738
-10.16,494.36321794872777,-843.1337999998648,-364.1337999998648,250.0,9.321069258577012
