,AU807,AU805,AU802,AU806,AU812,AU803,AU808,AU813,AU814,AU811,AU804,AU810,AU809,AU801,AU815
-11.28,485.4042794871794,609.6564461538344,528.0,515.9453051282035,509.0,520.8666307692432,505.3683820512811,503.0,525.9350307692312,504.1085410256408,481.5008666666619,502.48802820512907,510.0367461538464,435.54443846153976,559.4530512820518
-11.24,486.0,615.8102923076824,528.5324846153824,516.0,509.0,516.4751897435985,506.0,503.0,524.4558275000011,503.1058275000015,483.55214871794465,502.53761282051227,509.01110512820514,434.03759487179684,570.5804076922841
-11.2,486.0,620.5766899999963,530.1162512820475,515.0034128205139,509.0,511.4657820512911,506.0,503.0,522.8837487179525,503.0,485.3017153846137,503.0,507.98546410256665,432.49315641025703,581.8372352941003
-11.16,486.0,622.6606897435894,531.5837666666652,515.9777717948725,508.04176726342905,508.2025461538505,506.0,503.0,520.2487000000046,503.94274102563986,486.32735641025505,503.0,506.9598230769253,431.46751538461575,592.1966410256294
-11.120000000000001,486.0,623.6863307692306,533.218815384613,515.0,508.0,505.1256230769266,506.0,503.0,518.3921508951415,504.9683820512812,487.0,503.0,505.934182051284,430.4418743589744,602.4530512820425
-11.08,486.0,623.28802820513,535.2700974358958,515.0,508.0,502.0487000000025,506.4709461538456,503.0,515.4700615384623,506.9880461538451,487.0,503.0,505.0,430.58376666666527,612.7094615384563
-11.04,486.0,620.7871615384685,537.3213794871785,515.0,508.0,500.9905923076928,507.0,503.0,513.3418743589742,509.0786564102559,487.0,503.6401769230757,504.8829000000012,430.39059230769453,621.9692846153831
-11.0,486.0,616.1837307692407,539.3726615384611,514.8752076923099,508.0,499.92990256410286,507.0,502.5931564102565,512.3162333333348,513.1812205128209,487.0,503.33418205128294,503.85725897435987,431.238344999997,630.1333692307694
-10.96,485.3905923076927,611.0555256410338,542.1359153846157,513.8495666666686,508.08633076923036,498.0,507.0,501.5675153846164,510.58118461538896,517.3547307692187,486.57007948718154,503.69145897435845,503.16838205128147,432.63504871794777,636.2387340153332
-10.92,485.0,605.1127846153923,544.4752256410223,513.0,509.22394358974344,497.8273384615433,507.0,501.0,508.5299025641062,522.4829358974258,485.54443846154015,504.0,503.61195384615434,433.6606897435891,641.1418923076894
-10.879999999999999,485.0,598.9589384615441,547.2897615384552,512.7982846153859,511.1376128205127,495.88802820513024,507.59915128204955,501.0,507.23931025641167,527.6111410256326,485.0,504.0,502.0,434.0,643.1931743589722
-10.84,485.0,591.0734564102614,550.3666846153793,512.0,512.326507692303,495.0,507.3752076923091,500.490592307694,505.42733846154067,532.4436076923035,485.0,504.0,502.0,433.28802820512817,644.8777717948726
-10.8,485.0,582.8683282051308,552.629071794869,511.7470025641031,514.3777897435857,494.862387179488,507.0,500.5350487179474,503.376056410258,535.5205307692275,484.46751538461604,504.0,501.72905384615603,433.0,643.5563923076937
-10.76,485.73761282051123,573.7460999999996,554.6803538461517,511.0,516.858143589737,493.8367461538466,507.0,501.5606897435888,502.1623871794876,538.5974538461517,484.0,504.81709999999885,501.0,433.0,640.1541375000027
-10.719999999999999,486.0,564.5153307692523,556.7316358974344,511.0,520.9607076923024,493.0,507.0,503.1726615384603,501.1367461538463,541.449584615384,484.0,505.0,501.0,433.0,634.7854282051427
-10.68,486.0,555.2845615384814,558.7383450000002,510.69828461538583,525.0366899999968,492.78546410256456,507.0,504.61197179487147,499.2222102564098,543.5008666666666,484.0,505.86838205128157,501.0,432.1854641025656,627.4067897436039
-10.64,486.0,548.0418384615514,559.8891790281315,510.0,529.0632717948716,492.0,507.0,506.2752256410256,498.0878030690552,545.2685012468826,484.0,505.1059769230771,501.0,431.16197186700833,618.5336086956668
-10.6,486.0,541.884965000009,560.9145358974345,510.0,532.8743769230753,492.0,507.0,507.0,496.1716550000016,546.5470205128184,483.33931025641215,505.9196641025643,501.0,431.0,607.0255692307745
-10.559999999999999,486.0,535.8820153846189,561.9401769230759,509.6213615384617,536.268399999991,492.0,506.1957205128225,507.0,495.0623871794876,548.2991512820506,483.0,505.05469487179704,501.0,431.888894871795,594.7178769230779
