,Resp_wave,ACCVert,ACCLat,ACCLong,Jerk
277.847,492.8085410256425,-933.7360749988799,-301.06620000019063,7.59842500064347,15.320357558391661
277.887,492.0,-971.0,-269.0,3.5331000000669075,20.275300954331012
277.927,491.7572589743587,-964.066200000077,-262.4668999999615,-7.599300000115457,21.511845788122553
277.967,490.73230434782704,-947.0662000001338,-273.0,10.466899999933093,21.253932382695908
278.007,489.1256230769284,-985.7337999999742,-230.0,3.3668999999870937,23.423297895524556
278.047,486.0487000000027,-974.6330999999844,-253.26619999996896,106.83450000007758,27.212054804039408
278.087,481.94355384616284,-963.1006999999613,-240.63310000001292,115.83449999993547,24.228836379614783
278.127,475.78970769231154,-963.0772749996987,-208.6331000000309,149.7986000001854,26.783597744469066
278.167,469.31079250000687,-890.8993000003798,-207.0,146.73379999974682,30.449170302581145
278.207,463.0298846153893,-926.9910250002413,-217.7248250000658,203.0,29.254304778484077
278.247,457.90167948718863,-970.5538499988492,-197.532400000279,212.12587499973844,29.434028820509912
278.287,454.1093897435946,-976.6331000000981,-222.73379999980367,229.26620000019633,28.671097380490274
278.327,452.5290538461554,-936.0,-219.2662000001395,259.2589749998082,24.702839320153284
278.367,452.4965871794865,-932.3668999999587,-199.36689999995866,254.275174999969,20.22185116926136
278.407,454.0444564102538,-899.7337999998605,-180.60792500012207,230.0,19.212772085550547
278.447,456.6436076923063,-903.3668999999587,-166.36689999995866,190.100699999876,17.212217498780106
278.487,460.86755128205334,-916.1558666666574,-203.84413333334254,243.68826666668508,17.44520434147514
278.527,465.3966051281974,-910.7986000002479,-162.899300000124,210.26620000008265,18.192689756915055
278.567,469.49916923076023,-948.0,-199.0,203.48920000001604,19.559854379721013
278.607,472.95129999999585,-945.2662000000618,-199.0,195.0,20.31534246834185
278.647,474.67607435897236,-956.0,-226.24277499953368,217.50897499973001,18.795019529888265
278.687,475.70171538461426,-924.6331000000697,-243.2662000001395,217.37412500026156,18.89201151168272
278.727,476.0,-971.0,-249.7331000000726,191.5337999998548,18.341129232810914
278.767,475.2495666666669,-940.0,-243.26689999995583,184.26689999995583,16.86558033345744
278.807,475.0,-963.5337999999686,-225.4662000000315,221.2339749999567,18.98528741397005
278.847,474.2239256410279,-918.2829250000773,-219.46620000008835,218.73310000004417,21.73029510329677
278.887,474.0,-915.3353749998622,-206.73310000001575,244.93240000006298,20.180346171453017
278.927,473.17264358974415,-946.5338000000254,-193.53380000002534,215.7829249999778,23.51795990487554
278.967,473.0,-941.199300000195,-218.03292500011375,254.0,26.4847143228785
279.007,473.0,-912.601399999951,-184.98397499997756,245.26689999999184,29.28782557536728
279.047,473.0,-935.733100000065,-203.0,238.80069999980498,37.810727833549485
279.087,473.9299205128178,-939.8006999996969,-213.73310000010102,278.46620000020204,41.468650291407194
279.127,474.0,-926.8006999997822,-205.2668999999274,264.4662000001452,40.46367652469874
279.167,474.9812025640999,-935.266899999899,-200.46620000020204,246.73310000010102,39.167807136970204
279.207,477.01368717948355,-967.2668999999274,-172.46707499987298,191.8006999997822,35.65609611762232
279.247,479.0324846153836,-969.9324000001767,-203.0,313.0675999998233,24.856549704726124
279.287,480.05812564102405,-767.1022749992923,-91.96532500041741,254.0,20.759224603464627
279.327,481.08376666666595,-897.3344999997792,-160.33449999977915,244.53379999991165,19.09136283924773
279.367,482.10940769230785,-971.0,-179.0,285.5337999999685,17.065095043518888
279.407,483.13134413965025,-884.8006999998674,-158.93240000017667,291.73310000004415,14.09090513026075
279.447,484.13248461538336,-899.1668999999578,-154.16689999995774,311.66620000008453,16.778320034194703
