,AU811,AU808,AU802,AU807,AU804,AU809,AU810,AU806,AU803,AU819,AU814,AU816,AU813,AU818,AU815,AU812,AU817,AU820
-11.158999999999999,499.0,471.0,499.0,501.025641025641,480.2564102564103,472.2564102564103,490.4358974358974,496.51282051282055,500.0,585.333333333333,517.1025641025642,505.0,483.2307692307692,516.675,566.7179487179486,553.2307692307694,503.0,559.4102564102564
-11.119,498.38461538461536,471.4102564102564,499.0,501.0,482.0,473.0,490.0,497.0,500.0,574.0512820512822,521.2051282051283,505.0,484.0,515.2051282051282,558.6153846153846,564.5128205128206,503.0,556.5384615384615
-11.079,498.64102564102564,471.57500000000005,499.0,501.0,482.35897435897436,473.0,490.6153846153846,497.0,500.0,562.7692307692311,525.2307692307693,505.0,483.71794871794873,513.3589743589744,549.4615384615386,575.3589743589743,503.0,552.6153846153846
-11.039,498.3333333333333,471.0,499.64102564102564,501.0,484.0,473.3333333333333,491.0,497.0,500.0,551.4871794871794,528.3157894736842,505.0,483.0,511.3076923076923,542.1794871794871,585.1538461538463,503.0,547.6410256410255
-10.998999999999999,498.0,471.0,500.0,501.05128205128204,484.20512820512823,474.0,491.0,496.41025641025635,500.0,540.6410256410253,531.3076923076924,505.0,483.33333333333337,510.1282051282051,533.9999999999997,594.2750000000003,503.2307692307692,542.5128205128204
-10.959,498.0,471.0,500.0,502.0,485.2307692307692,474.3846153846154,491.0,496.61538461538464,500.4102564102564,529.9230769230767,533.35,505.0,484.0,509.1025641025641,526.8205128205126,602.8974358974359,503.7435897435897,537.3846153846154
-10.919,498.0,471.0,500.0,502.1025641025641,486.2564102564103,475.0,491.0,497.0,501.0,519.1282051282053,535.3589743589744,504.7435897435897,484.38461538461536,507.1538461538462,519.6923076923078,610.076923076923,503.28205128205127,532.2564102564104
-10.879,498.0,471.0,500.7435897435897,503.0,487.2820512820513,475.0,491.7435897435897,497.0,501.4615384615385,509.3846153846155,537.2051282051282,504.0,485.0,507.0,513.5384615384615,616.2307692307694,504.0,528.1025641025641
-10.839,498.79487179487177,471.0,501.0,503.3076923076923,488.3076923076923,475.0,492.0,497.0,502.4871794871795,500.69230769230785,537.7692307692307,504.0,485.4358974358974,506.02564102564105,507.48717948717956,620.6923076923076,503.6666666666667,523.0
-10.799,499.0,471.0,501.0,505.1794871794872,489.3333333333333,475.4871794871795,492.0,497.0,503.51282051282055,493.051282051282,537.0,504.0,486.4615384615385,506.0,502.6153846153845,623.7692307692307,503.35897435897436,518.8974358974358
-10.759,499.8461538461538,471.6153846153846,501.0,506.2051282051282,490.35897435897436,476.0,492.0,497.7435897435897,504.5384615384615,486.4615384615385,536.4358974358975,504.0,487.0,505.94871794871796,499.38461538461536,625.6153846153846,504.0,514.7948717948719
-10.719000000000001,501.7435897435897,472.0,501.0,507.23076923076917,491.0,476.0,492.0,498.0,505.56410256410254,480.923076923077,534.7,503.64102564102564,487.0,504.0,495.475,624.0769230769232,504.0,510.69230769230785
-10.679,502.8974358974359,472.0,501.0,508.2564102564103,491.4102564102564,476.5641025641026,492.0,498.0,507.15000000000003,475.7948717948719,533.0769230769231,503.38461538461536,487.5384615384615,504.0,492.64102564102564,619.6666666666666,504.0,506.8
-10.639,504.84615384615387,472.69230769230774,501.0,509.0,492.43589743589746,477.0,492.8717948717949,498.0,509.1794871794872,472.04999999999995,529.6666666666666,503.5897435897436,487.4358974358974,503.89743589743586,490.3846153846153,613.8461538461537,504.0,504.6923076923076
-10.599,506.89743589743586,473.0,500.1025641025641,509.3076923076923,493.46153846153845,477.6153846153846,493.0,498.0,511.23076923076917,469.0,525.923076923077,503.0,487.0,503.1282051282051,487.7692307692308,604.8205128205129,504.0,501.7435897435898
