,Time_1,HR1bt,Resp_wave,Jerk,HR10bt,HR30bt,Resp_BPM,sResp_BPM,ACCVert,ACCLat,ACCLong
435.902,448.5855374149659,61.999835461468145,456.53020512821575,12.001684075069106,62.4692466985724,59.84240129518302,5.001667222407809,16.799714814027464,-906.6779999999932,-65.35599999998635,223.67799999999318
435.942,448.62553741496595,61.78691118813924,457.0,11.168878833810425,62.45356387128641,59.85061720056944,5.001667222407809,16.790808726732703,-899.6439999996071,-59.991499999852664,222.0
435.982,448.665537414966,61.57398691481034,457.5800000000089,12.455140276774738,62.437881044000434,59.85883310595585,5.001667222407809,16.781902639437945,-901.8439999998573,-64.83950000019634,222.0
436.022,448.705537414966,61.361062641481745,458.6045641025621,11.851578469338582,62.42219821671447,59.86704901134225,5.001667222407809,16.772996552143198,-897.5780000009809,-59.0,221.4219999990191
436.062,448.745537414966,61.14813836815284,459.63020512821544,9.47689618242275,62.40651538942849,59.87526491672866,5.001667222407809,16.76409046484844,-909.8439999997436,-59.0,212.57800000012824
436.102,448.785537414966,60.93521409482424,460.6558461538552,11.20900791494134,62.39083256214253,59.88348082211506,5.001667222407809,16.755184377553693,-910.1560000007821,-59.51150000068439,232.31200000156434
436.142,448.825537414966,60.72228982149534,461.0,11.779561007696438,62.37514973485655,59.891696727501476,5.001667222407809,16.74627829025893,-904.4373333335801,-61.578000000185085,222.5626666664199
436.182,448.86553741496596,60.509365548166436,461.70712820514973,9.75386351987246,62.359466907570564,59.89991263288789,5.001667222407809,16.737372202964174,-909.0,-59.0,233.57800000095952
436.222,448.905537414966,60.29644127483784,462.7327692307722,10.399359558729072,62.34378408028461,59.90812853827429,5.001667222407809,16.728466115669427,-913.0,-53.11933333422039,230.77066666698923
436.262,448.945537414966,60.228729159860194,463.75647058823495,10.663438926819769,62.33307370384938,59.916386540203476,5.001667222407809,16.71956002837467,-901.0,-61.66049999970612,219.23849999981297
436.302,448.985537414966,60.212183490022454,464.78148717951063,10.71147135893117,62.32411540269873,59.92465937512235,5.001667222407809,16.710653941079908,-907.478000000391,-53.478000000391084,222.0
436.342,449.025537414966,60.195637820184736,465.0,11.071403893701298,62.31515710154809,59.93293221004121,5.001667222407809,16.70174785378516,-905.0,-64.04250000065143,208.04399999965258
436.382,449.065537414966,60.179092150346996,465.8119499999943,14.006323378284879,62.30619880039744,59.94120504496008,5.001667222407809,16.692841766490403,-909.9560000022801,-60.79250000427519,212.79250000427518
436.422,449.105537414966,60.16254648050925,466.0,14.8002742411511,62.29724049924678,59.94947787987895,5.001667222407809,16.683935679195642,-908.5659999991378,-63.41349999949705,229.5659999991378
436.462,449.14553741496593,60.14600081067153,466.8584102564145,12.598874122537683,62.28828219809614,59.95775071479781,5.001667222407809,16.675029591900895,-907.4780000005047,-66.0,219.52199999949522
